"id_cliente","nome","endereco","telefone","email","data_nascimento"
1,Cliente_4432,Endereço do Cliente_4432,+5511668845797,Cliente_4432@exemplo.com,1963-09-06
2,Cliente_7562,Endereço do Cliente_7562,+5511509938845,Cliente_7562@exemplo.com,1991-04-04
3,Cliente_7368,Endereço do Cliente_7368,+5511436528278,Cliente_7368@exemplo.com,1959-04-22
4,Cliente_6422,Endereço do Cliente_6422,+5511937198293,Cliente_6422@exemplo.com,1969-06-06
5,Cliente_2360,Endereço do Cliente_2360,+5511908766387,Cliente_2360@exemplo.com,1998-11-01
6,Cliente_3887,Endereço do Cliente_3887,+5511289752929,Cliente_3887@exemplo.com,1991-03-16
7,Cliente_1634,Endereço do Cliente_1634,+5511600791962,Cliente_1634@exemplo.com,1985-06-26
8,Cliente_6155,Endereço do Cliente_6155,+5511679099284,Cliente_6155@exemplo.com,1967-11-28
9,Cliente_956,Endereço do Cliente_956,+5511601091555,Cliente_956@exemplo.com,2000-04-03
10,Cliente_4188,Endereço do Cliente_4188,+5511382824293,Cliente_4188@exemplo.com,1962-12-11
11,Cliente_155,Endereço do Cliente_155,+5511793727743,Cliente_155@exemplo.com,1970-11-15
12,Cliente_5886,Endereço do Cliente_5886,+5511373493712,Cliente_5886@exemplo.com,1994-01-10
13,Cliente_6310,Endereço do Cliente_6310,+5511708422551,Cliente_6310@exemplo.com,2000-02-13
14,Cliente_9501,Endereço do Cliente_9501,+5511210954034,Cliente_9501@exemplo.com,1965-08-04
15,Cliente_4691,Endereço do Cliente_4691,+5511549387905,Cliente_4691@exemplo.com,1954-09-24
16,Cliente_7783,Endereço do Cliente_7783,+5511904105644,Cliente_7783@exemplo.com,1959-08-14
17,Cliente_7366,Endereço do Cliente_7366,+5511391557096,Cliente_7366@exemplo.com,1973-07-22
18,Cliente_1092,Endereço do Cliente_1092,+5511543364333,Cliente_1092@exemplo.com,1980-09-18
19,Cliente_7808,Endereço do Cliente_7808,+5511752498627,Cliente_7808@exemplo.com,1979-08-11
20,Cliente_8369,Endereço do Cliente_8369,+5511305624008,Cliente_8369@exemplo.com,2000-08-09
21,Cliente_7713,Endereço do Cliente_7713,+5511424785582,Cliente_7713@exemplo.com,1993-03-28
22,Cliente_6090,Endereço do Cliente_6090,+5511608009767,Cliente_6090@exemplo.com,1960-06-05
23,Cliente_2437,Endereço do Cliente_2437,+5511603071159,Cliente_2437@exemplo.com,1990-04-06
24,Cliente_5147,Endereço do Cliente_5147,+5511868070470,Cliente_5147@exemplo.com,1987-06-27
25,Cliente_1264,Endereço do Cliente_1264,+5511516113411,Cliente_1264@exemplo.com,1992-03-08
26,Cliente_9193,Endereço do Cliente_9193,+5511289421484,Cliente_9193@exemplo.com,1978-06-24
27,Cliente_4644,Endereço do Cliente_4644,+5511654912357,Cliente_4644@exemplo.com,1970-11-23
28,Cliente_6770,Endereço do Cliente_6770,+5511399256395,Cliente_6770@exemplo.com,1968-05-23
29,Cliente_9358,Endereço do Cliente_9358,+5511145821095,Cliente_9358@exemplo.com,1961-04-15
30,Cliente_3042,Endereço do Cliente_3042,+5511427403848,Cliente_3042@exemplo.com,1979-10-03
31,Cliente_5385,Endereço do Cliente_5385,+5511919085233,Cliente_5385@exemplo.com,1963-09-01
32,Cliente_928,Endereço do Cliente_928,+5511904025441,Cliente_928@exemplo.com,1983-07-13
33,Cliente_4404,Endereço do Cliente_4404,+5511826995833,Cliente_4404@exemplo.com,1984-10-05
34,Cliente_8710,Endereço do Cliente_8710,+5511393853449,Cliente_8710@exemplo.com,1997-06-06
35,Cliente_6068,Endereço do Cliente_6068,+5511721059386,Cliente_6068@exemplo.com,1992-06-25
36,Cliente_357,Endereço do Cliente_357,+5511218632173,Cliente_357@exemplo.com,1986-06-28
37,Cliente_2174,Endereço do Cliente_2174,+5511375059400,Cliente_2174@exemplo.com,1961-12-14
38,Cliente_7246,Endereço do Cliente_7246,+5511215027955,Cliente_7246@exemplo.com,1994-02-23
39,Cliente_9308,Endereço do Cliente_9308,+5511854920440,Cliente_9308@exemplo.com,1978-06-01
40,Cliente_3190,Endereço do Cliente_3190,+5511179273648,Cliente_3190@exemplo.com,1973-08-31
41,Cliente_5283,Endereço do Cliente_5283,+5511693866702,Cliente_5283@exemplo.com,1987-09-28
42,Cliente_5367,Endereço do Cliente_5367,+5511355958284,Cliente_5367@exemplo.com,2000-06-16
43,Cliente_8714,Endereço do Cliente_8714,+5511212299822,Cliente_8714@exemplo.com,1959-02-05
44,Cliente_8686,Endereço do Cliente_8686,+5511286895177,Cliente_8686@exemplo.com,1996-10-15
45,Cliente_983,Endereço do Cliente_983,+5511933302051,Cliente_983@exemplo.com,1980-06-08
46,Cliente_6349,Endereço do Cliente_6349,+5511279146932,Cliente_6349@exemplo.com,1995-12-27
47,Cliente_9022,Endereço do Cliente_9022,+5511848836082,Cliente_9022@exemplo.com,1985-12-10
48,Cliente_2937,Endereço do Cliente_2937,+5511746427608,Cliente_2937@exemplo.com,1964-03-04
49,Cliente_1158,Endereço do Cliente_1158,+5511785470976,Cliente_1158@exemplo.com,1996-02-16
50,Cliente_115,Endereço do Cliente_115,+5511221291395,Cliente_115@exemplo.com,1985-06-05
51,Cliente_4321,Endereço do Cliente_4321,+5511913638176,Cliente_4321@exemplo.com,1989-02-15
52,Cliente_9170,Endereço do Cliente_9170,+5511276237321,Cliente_9170@exemplo.com,1980-06-06
53,Cliente_5067,Endereço do Cliente_5067,+5511656997036,Cliente_5067@exemplo.com,1983-10-09
54,Cliente_750,Endereço do Cliente_750,+5511125038983,Cliente_750@exemplo.com,1984-04-02
55,Cliente_1819,Endereço do Cliente_1819,+5511899808001,Cliente_1819@exemplo.com,1995-12-09
56,Cliente_5755,Endereço do Cliente_5755,+5511246767099,Cliente_5755@exemplo.com,1996-12-01
57,Cliente_1812,Endereço do Cliente_1812,+5511144822541,Cliente_1812@exemplo.com,1982-01-16
58,Cliente_4806,Endereço do Cliente_4806,+5511175551479,Cliente_4806@exemplo.com,1965-06-25
59,Cliente_8536,Endereço do Cliente_8536,+5511600968120,Cliente_8536@exemplo.com,1956-07-27
60,Cliente_3484,Endereço do Cliente_3484,+5511500305114,Cliente_3484@exemplo.com,1997-06-24
61,Cliente_5401,Endereço do Cliente_5401,+5511314387241,Cliente_5401@exemplo.com,1972-08-11
62,Cliente_408,Endereço do Cliente_408,+5511471202725,Cliente_408@exemplo.com,1972-06-06
63,Cliente_8096,Endereço do Cliente_8096,+5511541369332,Cliente_8096@exemplo.com,1960-11-17
64,Cliente_5682,Endereço do Cliente_5682,+5511819725636,Cliente_5682@exemplo.com,1997-10-19
65,Cliente_8400,Endereço do Cliente_8400,+5511816387787,Cliente_8400@exemplo.com,1990-02-10
66,Cliente_2246,Endereço do Cliente_2246,+5511974342788,Cliente_2246@exemplo.com,1979-09-02
67,Cliente_7357,Endereço do Cliente_7357,+5511946356422,Cliente_7357@exemplo.com,1984-04-17
68,Cliente_8749,Endereço do Cliente_8749,+5511947651352,Cliente_8749@exemplo.com,1978-04-02
69,Cliente_3582,Endereço do Cliente_3582,+5511695611694,Cliente_3582@exemplo.com,1954-08-13
70,Cliente_9362,Endereço do Cliente_9362,+5511444245575,Cliente_9362@exemplo.com,1979-10-11
71,Cliente_4075,Endereço do Cliente_4075,+5511533266884,Cliente_4075@exemplo.com,1955-03-12
72,Cliente_9788,Endereço do Cliente_9788,+5511383579120,Cliente_9788@exemplo.com,1999-12-20
73,Cliente_9413,Endereço do Cliente_9413,+5511319276826,Cliente_9413@exemplo.com,1987-08-27
74,Cliente_2624,Endereço do Cliente_2624,+5511117400060,Cliente_2624@exemplo.com,1980-03-17
75,Cliente_1713,Endereço do Cliente_1713,+5511189567134,Cliente_1713@exemplo.com,1951-03-21
76,Cliente_5161,Endereço do Cliente_5161,+5511417394961,Cliente_5161@exemplo.com,1967-02-01
77,Cliente_8431,Endereço do Cliente_8431,+5511298856605,Cliente_8431@exemplo.com,1969-10-26
78,Cliente_8416,Endereço do Cliente_8416,+5511879847718,Cliente_8416@exemplo.com,1979-04-28
79,Cliente_8221,Endereço do Cliente_8221,+5511516632703,Cliente_8221@exemplo.com,2000-01-11
80,Cliente_1175,Endereço do Cliente_1175,+5511716852441,Cliente_1175@exemplo.com,1962-01-07
81,Cliente_4764,Endereço do Cliente_4764,+5511879127588,Cliente_4764@exemplo.com,1994-01-11
82,Cliente_2004,Endereço do Cliente_2004,+5511401920487,Cliente_2004@exemplo.com,1954-02-23
83,Cliente_2804,Endereço do Cliente_2804,+5511201749542,Cliente_2804@exemplo.com,1964-03-12
84,Cliente_2642,Endereço do Cliente_2642,+5511426809266,Cliente_2642@exemplo.com,1994-07-15
85,Cliente_8066,Endereço do Cliente_8066,+5511682637952,Cliente_8066@exemplo.com,1966-03-30
86,Cliente_5204,Endereço do Cliente_5204,+5511315220151,Cliente_5204@exemplo.com,1972-03-10
87,Cliente_6783,Endereço do Cliente_6783,+5511211392800,Cliente_6783@exemplo.com,1964-03-11
88,Cliente_5830,Endereço do Cliente_5830,+5511452892592,Cliente_5830@exemplo.com,1952-12-15
89,Cliente_734,Endereço do Cliente_734,+5511565076926,Cliente_734@exemplo.com,1973-03-23
90,Cliente_7732,Endereço do Cliente_7732,+5511873681079,Cliente_7732@exemplo.com,1987-11-05
91,Cliente_3108,Endereço do Cliente_3108,+5511998764078,Cliente_3108@exemplo.com,1986-03-31
92,Cliente_3740,Endereço do Cliente_3740,+5511572731549,Cliente_3740@exemplo.com,1973-01-30
93,Cliente_6416,Endereço do Cliente_6416,+5511920002758,Cliente_6416@exemplo.com,1950-07-12
94,Cliente_9558,Endereço do Cliente_9558,+5511208553164,Cliente_9558@exemplo.com,1975-05-30
95,Cliente_5621,Endereço do Cliente_5621,+5511560047907,Cliente_5621@exemplo.com,1991-04-18
96,Cliente_6937,Endereço do Cliente_6937,+5511848993160,Cliente_6937@exemplo.com,1984-06-05
97,Cliente_6551,Endereço do Cliente_6551,+5511494812138,Cliente_6551@exemplo.com,1990-12-02
98,Cliente_2000,Endereço do Cliente_2000,+5511197268351,Cliente_2000@exemplo.com,1981-09-24
99,Cliente_7131,Endereço do Cliente_7131,+5511509988524,Cliente_7131@exemplo.com,1994-07-14
100,Cliente_783,Endereço do Cliente_783,+5511147319652,Cliente_783@exemplo.com,1965-07-19
101,Cliente_8291,Endereço do Cliente_8291,+5511982626543,Cliente_8291@exemplo.com,1972-03-02
102,Cliente_4546,Endereço do Cliente_4546,+5511136184819,Cliente_4546@exemplo.com,1962-07-05
103,Cliente_3047,Endereço do Cliente_3047,+5511320587476,Cliente_3047@exemplo.com,1958-12-25
104,Cliente_458,Endereço do Cliente_458,+5511475813838,Cliente_458@exemplo.com,1962-06-13
105,Cliente_9634,Endereço do Cliente_9634,+5511328994508,Cliente_9634@exemplo.com,1962-08-21
106,Cliente_6463,Endereço do Cliente_6463,+5511716392836,Cliente_6463@exemplo.com,1991-10-20
107,Cliente_552,Endereço do Cliente_552,+5511846785023,Cliente_552@exemplo.com,1963-06-30
108,Cliente_9803,Endereço do Cliente_9803,+5511901114249,Cliente_9803@exemplo.com,1995-11-07
109,Cliente_1150,Endereço do Cliente_1150,+5511844181866,Cliente_1150@exemplo.com,1985-10-27
110,Cliente_2943,Endereço do Cliente_2943,+5511367660720,Cliente_2943@exemplo.com,1951-04-08
111,Cliente_655,Endereço do Cliente_655,+5511142289196,Cliente_655@exemplo.com,1993-08-19
112,Cliente_4354,Endereço do Cliente_4354,+5511279553446,Cliente_4354@exemplo.com,1990-11-28
113,Cliente_5201,Endereço do Cliente_5201,+5511193363223,Cliente_5201@exemplo.com,1972-03-06
114,Cliente_6592,Endereço do Cliente_6592,+5511167511621,Cliente_6592@exemplo.com,1987-06-18
115,Cliente_4881,Endereço do Cliente_4881,+5511499647778,Cliente_4881@exemplo.com,1950-09-21
116,Cliente_2344,Endereço do Cliente_2344,+5511777857369,Cliente_2344@exemplo.com,1965-05-17
117,Cliente_6349,Endereço do Cliente_6349,+5511114510898,Cliente_63497063@exemplo.com,1953-05-03
118,Cliente_8063,Endereço do Cliente_8063,+5511817946638,Cliente_8063@exemplo.com,1952-01-15
119,Cliente_6830,Endereço do Cliente_6830,+5511138000073,Cliente_6830@exemplo.com,1996-04-20
120,Cliente_7543,Endereço do Cliente_7543,+5511651505143,Cliente_7543@exemplo.com,1956-02-29
121,Cliente_7965,Endereço do Cliente_7965,+5511646992668,Cliente_7965@exemplo.com,1955-04-09
122,Cliente_6875,Endereço do Cliente_6875,+5511200044694,Cliente_6875@exemplo.com,1986-03-02
123,Cliente_3668,Endereço do Cliente_3668,+5511561242801,Cliente_3668@exemplo.com,1996-09-12
124,Cliente_6406,Endereço do Cliente_6406,+5511983024426,Cliente_6406@exemplo.com,1974-11-30
125,Cliente_6857,Endereço do Cliente_6857,+5511624782591,Cliente_6857@exemplo.com,1974-02-26
126,Cliente_7006,Endereço do Cliente_7006,+5511118677031,Cliente_7006@exemplo.com,1995-02-19
127,Cliente_2921,Endereço do Cliente_2921,+5511118699662,Cliente_2921@exemplo.com,1985-01-17
128,Cliente_7057,Endereço do Cliente_7057,+5511793739959,Cliente_7057@exemplo.com,1987-01-29
129,Cliente_928,Endereço do Cliente_928,+5511456504675,Cliente_9286385@exemplo.com,1981-03-18
130,Cliente_2506,Endereço do Cliente_2506,+5511710766993,Cliente_2506@exemplo.com,1953-07-08
131,Cliente_4759,Endereço do Cliente_4759,+5511251216766,Cliente_4759@exemplo.com,1981-12-17
132,Cliente_4013,Endereço do Cliente_4013,+5511498382822,Cliente_4013@exemplo.com,1983-08-22
133,Cliente_9980,Endereço do Cliente_9980,+5511567728747,Cliente_9980@exemplo.com,1954-02-01
134,Cliente_2926,Endereço do Cliente_2926,+5511442143683,Cliente_2926@exemplo.com,1966-02-22
135,Cliente_3034,Endereço do Cliente_3034,+5511565459163,Cliente_3034@exemplo.com,1971-10-29
136,Cliente_2161,Endereço do Cliente_2161,+5511576851722,Cliente_2161@exemplo.com,1971-10-02
137,Cliente_9593,Endereço do Cliente_9593,+5511993501890,Cliente_9593@exemplo.com,1976-01-22
